lam,LB,n1,fold,window,min_n1,failed
0.3,252,0.3,7,9,0.20171678718742986,False
0.3,252,0.3,7,10,0.12779691186389341,False
0.3,252,0.3,7,11,0.10891305481654803,False
0.3,252,0.3,7,12,0.1001950334574378,False
0.3,252,0.3,8,0,0.07232708106820598,False
0.3,252,0.3,8,1,0.06166129841517459,False
0.3,252,0.3,8,2,0.053122035900209794,False
0.3,252,0.3,8,3,0.050784735301646136,False
0.3,252,0.3,8,4,0.06288413250384121,False
0.3,252,0.3,8,5,0.06929761903730672,False
0.3,252,0.4,1,0,0.09485805636702763,False
0.3,252,0.4,1,1,0.09099598574966236,False
0.3,252,0.4,1,2,0.08702390242713887,False
0.3,252,0.4,1,3,0.1043063264824757,False
0.3,252,0.4,1,4,0.08922301591794249,False
0.3,252,0.4,1,5,0.10144072147834163,False
0.3,252,0.4,1,6,0.09554676618842278,False
0.3,252,0.4,1,7,0.09656079860315178,False
0.3,252,0.4,1,8,0.1004999623763541,False
0.3,252,0.4,1,9,0.12499555373569618,False
0.3,252,0.4,1,10,0.12427196248257158,False
0.3,252,0.4,1,11,0.14548878789234218,False
0.3,252,0.4,2,0,0.12400036203596292,False
0.3,252,0.4,2,1,0.11183223324575728,False
0.3,252,0.4,2,2,0.08145453704038735,False
0.3,252,0.4,2,3,0.16173430217983414,False
0.3,252,0.4,2,4,0.09906425970298721,False
0.3,252,0.4,2,5,0.08475529518651642,False
0.3,252,0.4,2,6,0.09875888498182267,False
0.3,252,0.4,2,7,0.11536367632551646,False
0.3,252,0.4,2,8,0.12763962979285573,False
0.3,252,0.4,2,9,0.08018038839387581,False
0.3,252,0.4,2,10,0.0858550419086063,False
0.3,252,0.4,2,11,0.0961393736353343,False
0.3,252,0.4,2,12,0.09710218941656264,False
0.3,252,0.4,3,0,0.08931163794392198,False
0.3,252,0.4,3,1,0.08280976350929264,False
0.3,252,0.4,3,2,0.08203363780049788,False
0.3,252,0.4,3,3,0.17290915045908267,False
0.3,252,0.4,3,4,0.13840551265592924,False
0.3,252,0.4,3,5,0.14913948541864624,False
0.3,252,0.4,3,6,0.14903641612585292,False
0.3,252,0.4,3,7,0.14682761252135557,False
0.3,252,0.4,3,8,0.22315687677991639,False
0.3,252,0.4,3,9,0.269661149286288,False
0.3,252,0.4,3,10,0.20581301442440844,False
0.3,252,0.4,3,11,0.20226133667643884,False
0.3,252,0.4,3,12,0.17038561521163592,False
0.3,252,0.4,4,0,0.34383643318420354,False
0.3,252,0.4,4,1,0.7875827420987918,True
0.3,252,0.4,4,2,0.7319985290868638,True
0.3,252,0.4,4,3,0.2344225662842187,False
0.3,252,0.4,4,4,0.4740273864678856,True
0.3,252,0.4,4,5,0.2644238003130255,False
0.3,252,0.4,4,6,0.3231830806693548,False
0.3,252,0.4,4,7,0.314554648953395,False
0.3,252,0.4,4,8,0.7838114334094853,True
0.3,252,0.4,4,9,0.31687358522833603,False
0.3,252,0.4,4,10,0.2599870105318417,False
0.3,252,0.4,4,11,0.1608393625951955,False
0.3,252,0.4,4,12,0.18220632779948379,False
0.3,252,0.4,5,0,0.09688256816083363,False
0.3,252,0.4,5,1,0.0607339904519636,False
0.3,252,0.4,5,2,0.1240607386002923,False
0.3,252,0.4,5,3,0.09700279979724064,False
0.3,252,0.4,5,4,0.13349233532136953,False
0.3,252,0.4,5,5,0.11038111387192232,False
0.3,252,0.4,5,6,0.16417437050762226,False
0.3,252,0.4,5,7,0.10592970781958745,False
0.3,252,0.4,5,8,0.09523116008547719,False
0.3,252,0.4,5,9,0.11619758945621271,False
0.3,252,0.4,5,10,0.08065127458110853,False
