λ,LB,n1,tc_bps,label,Ann.Ret,Sharpe,CVaR(5%),MDD,MDD_abs,Calmar,HHI,Turnover
0.3,504,0.4,10,"DFL-MDD (LB=504, n1=0.4)",0.06612901543198424,0.4543410631590124,0.026286157872831915,0.30373908124812266,0.32572482589267426,0.21771651885715748,0.5593250544779478,0.9944864643545279
0.3,504,0.4,20,"DFL-MDD (LB=504, n1=0.4)",0.053590412565573065,0.38644776857726865,0.026349844477803752,0.30465452827866024,0.3266359585797136,0.17590551780331537,0.5593250544779478,0.9944864643545279
0.3,504,0.4,40,"DFL-MDD (LB=504, n1=0.4)",0.02890487502832184,0.2504803193329189,0.026503837245440965,0.30648542233966963,0.32845822395379265,0.09431076622905823,0.5593250544779478,0.9944864643545279
0.3,1260,0.1,0,"DFL-MDD (LB=1260, n1=0.1)",0.06777273088192981,0.45976746651867534,0.026026114888387044,0.32616909943802097,0.35285364217400017,0.2077840328158666,0.2548189999935503,0.7974475009025138
0.3,1260,0.1,5,"DFL-MDD (LB=1260, n1=0.1)",0.06272888596831572,0.43297857962950964,0.026047252183777268,0.326406486893782,0.3530669759537378,0.19218026745133499,0.2548189999935503,0.7974475009025138
0.3,1260,0.1,10,"DFL-MDD (LB=1260, n1=0.1)",0.05770650781308184,0.40615704147026016,0.02606909807763616,0.3266438743495385,0.3532803097334756,0.17666490121796732,0.2548189999935503,0.7974475009025138
0.3,1260,0.1,20,"DFL-MDD (LB=1260, n1=0.1)",0.04772582546737203,0.35243811856999097,0.02611278986535163,0.3274987647841922,0.3541472052201795,0.14572826094244506,0.2548189999935503,0.7974475009025138
0.3,1260,0.1,40,"DFL-MDD (LB=1260, n1=0.1)",0.028018487796333647,0.24485222928011302,0.026200173440772904,0.33197227422562464,0.36023417299352123,0.0844000838722179,0.2548189999935503,0.7974475009025138
0.3,1260,0.2,0,"DFL-MDD (LB=1260, n1=0.2)",0.08357885108643281,0.5111353952578278,0.027623688427340427,0.3567588702194471,0.3862598557360587,0.23427266436737815,0.41661816380046773,0.7773135004873775
0.3,1260,0.2,5,"DFL-MDD (LB=1260, n1=0.2)",0.07858921840401778,0.48730653733239093,0.027637063413829245,0.35697864701055604,0.3864682175099293,0.2201510343549449,0.41661816380046773,0.7773135004873775
0.3,1260,0.2,10,"DFL-MDD (LB=1260, n1=0.2)",0.07362011086914766,0.4634526071019196,0.027650438400317362,0.35719842380166095,0.38667657928379984,0.20610424330823965,0.41661816380046773,0.7773135004873775
0.3,1260,0.2,20,"DFL-MDD (LB=1260, n1=0.2)",0.06374317244468064,0.4156863170423125,0.027677188373291573,0.3576379773838596,0.3870933028315411,0.17823379075438767,0.41661816380046773,0.7773135004873775
0.3,1260,0.2,40,"DFL-MDD (LB=1260, n1=0.2)",0.044232323910335936,0.3200377545998912,0.027730688319231055,0.35851708454820946,0.3879267499270235,0.12337577706718876,0.41661816380046773,0.7773135004873775
0.3,1260,0.3,0,"DFL-MDD (LB=1260, n1=0.3)",0.054188787258001136,0.3862427500389824,0.02604589959840628,0.32556105069885166,0.3484266375391518,0.1664473902054142,0.49061697274361005,0.7230226342359446
0.3,1260,0.3,5,"DFL-MDD (LB=1260, n1=0.3)",0.04967270599405227,0.36206297282137057,0.026066476946726636,0.32593998250972056,0.34880165189168844,0.1523983206857141,0.49061697274361005,0.7230226342359446
0.3,1260,0.3,10,"DFL-MDD (LB=1260, n1=0.3)",0.045173551307657656,0.33785745978825266,0.026087054295046434,0.32660150853800324,0.34930515109691374,0.13831397012230848,0.49061697274361005,0.7230226342359446
0.3,1260,0.3,20,"DFL-MDD (LB=1260, n1=0.3)",0.036225801996300655,0.28938992225881977,0.0261282089916843,0.32796224061616114,0.3509357433214443,0.11045723409254515,0.49061697274361005,0.7230226342359446
0.3,1260,0.3,40,"DFL-MDD (LB=1260, n1=0.3)",0.018531014444732596,0.1923739757586074,0.026229276670843193,0.33067962882749885,0.3541969277705065,0.05603917757145996,0.49061697274361005,0.7230226342359446
0.3,1260,0.4,0,"DFL-MDD (LB=1260, n1=0.4)",0.13706467198838723,0.7707313737904518,0.026513598635110845,0.27704503303997113,0.2954048758270953,0.4947378786579372,0.5609512149738751,0.8570683244356601
0.3,1260,0.4,5,"DFL-MDD (LB=1260, n1=0.4)",0.1312925734243613,0.7438972531169978,0.02652788593708231,0.27711987870170834,0.29548287375155613,0.473775371121272,0.5609512149738751,0.8570683244356601
0.3,1260,0.4,10,"DFL-MDD (LB=1260, n1=0.4)",0.1255463061140374,0.7170067164062081,0.02654820675965219,0.277194724363442,0.2955608716760171,0.45291737191987985,0.5609512149738751,0.8570683244356601
0.3,1260,0.4,20,"DFL-MDD (LB=1260, n1=0.4)",0.11413086253746219,0.6630831959320085,0.02659670094441565,0.2773444156868997,0.2957168675249393,0.4115131080380423,0.5609512149738751,0.8570683244356601
0.3,1260,0.4,40,"DFL-MDD (LB=1260, n1=0.4)",0.09160553940775062,0.554855178038938,0.02672234460876601,0.27764379833377323,0.2960288592227831,0.3299390799452754,0.5609512149738751,0.8570683244356601
0.5,252,0.1,0,"DFL-MDD (LB=252, n1=0.1)",0.05635051584809836,0.4009243567604999,0.02582437450982455,0.304238349929774,0.32744378055509704,0.18521831926377352,0.27913003668942,0.659538873634933
0.5,252,0.1,5,"DFL-MDD (LB=252, n1=0.1)",0.052221962283615087,0.37857571751904007,0.02584124647836913,0.30448950665518376,0.32769549242763685,0.17150660737088286,0.27913003668942,0.659538873634933
0.5,252,0.1,10,"DFL-MDD (LB=252, n1=0.1)",0.04810778193608134,0.35620197585308544,0.02585811844691322,0.3047406633805906,0.3279472043001769,0.1578646623217889,0.27913003668942,0.659538873634933
0.5,252,0.1,20,"DFL-MDD (LB=252, n1=0.1)",0.03992236471427746,0.311393386815846,0.025891862383999847,0.30524297683139495,0.3284506280452568,0.13078880672576532,0.27913003668942,0.659538873634933
0.5,252,0.1,40,"DFL-MDD (LB=252, n1=0.1)",0.023722077476729053,0.2216316853776129,0.025970006603310943,0.30624760373296517,0.3294574755354166,0.07746045088949544,0.27913003668942,0.659538873634933
0.5,252,0.2,0,"DFL-MDD (LB=252, n1=0.2)",0.109428290214314,0.6701950291781978,0.026668562841761098,0.2742314571202715,0.2943213243199526,0.3990362423170791,0.39028889856585636,0.8398858083367763
0.5,252,0.2,5,"DFL-MDD (LB=252, n1=0.2)",0.10390937054391647,0.6422759784661803,0.026691530572363047,0.27445329933587165,0.29455124194309257,0.3786049238886843,0.39028889856585636,0.8398858083367763
0.5,252,0.2,10,"DFL-MDD (LB=252, n1=0.2)",0.09841511055767316,0.6143135941304104,0.0267177999143304,0.27467514155146683,0.2947811595662323,0.3582963859268755,0.39028889856585636,0.8398858083367763
0.5,252,0.2,20,"DFL-MDD (LB=252, n1=0.2)",0.08750017751618078,0.5582845641005579,0.02678037876673801,0.2751188259826429,0.29524099481251165,0.31804503807346357,0.39028889856585636,0.8398858083367763
0.5,252,0.2,40,"DFL-MDD (LB=252, n1=0.2)",0.06596193350582569,0.44599025447762064,0.026910320789768495,0.2760061948449357,0.2961606653050708,0.238987148527537,0.39028889856585636,0.8398858083367763
0.5,252,0.3,0,"DFL-MDD (LB=252, n1=0.3)",0.04270516514314826,0.31187600093086415,0.027878462208223983,0.3284623611264829,0.35872305145277433,0.13001539958394803,0.5003396592286183,0.7063964668632834
0.5,252,0.3,5,"DFL-MDD (LB=252, n1=0.3)",0.0383407104878295,0.2904230965044747,0.027893686292050197,0.32869687306533896,0.35890275602191113,0.11664458538534257,0.5003396592286183,0.7063964668632834
0.5,252,0.3,10,"DFL-MDD (LB=252, n1=0.3)",0.0339920434762222,0.26895193032628323,0.027908910375875846,0.3289313850041925,0.3590824605910482,0.10334083342474255,0.5003396592286183,0.7063964668632834
0.5,252,0.3,20,"DFL-MDD (LB=252, n1=0.3)",0.025341877109699595,0.22597051858568581,0.02793935854352532,0.3294004088818907,0.359441869729322,0.07693335047162253,0.5003396592286183,0.7063964668632834
0.5,252,0.3,40,"DFL-MDD (LB=252, n1=0.3)",0.008228855212513375,0.13996149463309343,0.02802742080277042,0.34815470080312877,0.36016068800587,0.023635628619022978,0.5003396592286183,0.7063964668632834
0.5,252,0.4,0,"DFL-MDD (LB=252, n1=0.4)",0.05376101458005578,0.36141931188015053,0.028797010554588918,0.3468388670759023,0.3741939406249559,0.15500285483515439,0.6591824018850652,0.8006265114397032
0.5,252,0.4,5,"DFL-MDD (LB=252, n1=0.4)",0.04876304410433829,0.33770245658699716,0.028808389966004242,0.34704687008629087,0.37441387957777905,0.1405085257739476,0.6591824018850652,0.8006265114397032
0.5,252,0.4,10,"DFL-MDD (LB=252, n1=0.4)",0.04378541157746496,0.3139575752385707,0.02882411947283239,0.3472548730966735,0.3746338185306023,0.12609012848227583,0.6591824018850652,0.8006265114397032
0.5,252,0.4,20,"DFL-MDD (LB=252, n1=0.4)",0.03389088076990876,0.26640600500935224,0.028862909562120283,0.3476708791174188,0.37507369643624855,0.0974797798601787,0.6591824018850652,0.8006265114397032
0.5,252,0.4,40,"DFL-MDD (LB=252, n1=0.4)",0.014342810103394443,0.17121196532384783,0.028967030699384753,0.3485028911588289,0.3759534522475412,0.041155498169862276,0.6591824018850652,0.8006265114397032
0.5,504,0.1,0,"DFL-MDD (LB=504, n1=0.1)",0.08200214876958634,0.5066146850203455,0.0281440629155148,0.3907446194921864,0.422771071819618,0.20986123585059366,0.24127503355011518,0.8097650685903074
