lam,LB,n1,tc_bps,label,Ann.Ret,Sharpe,CVaR(5%),MDD,MDD_abs,Calmar,HHI,Turnover
0.3,1260,0.3,0,"DFL-MDD (LB=1260, n1=0.3)",0.05938596327255086,0.4190770482560983,0.02496937895108308,0.3347779719061613,0.36183373244210343,0.17738910035412336,0.6001160822140404,0.6956646720757106
0.3,1260,0.3,5,"DFL-MDD (LB=1260, n1=0.3)",0.05501895799740186,0.395396279680904,0.024981647961845325,0.33544319393231214,0.36247189870804053,0.16401870413892514,0.6001160822140404,0.6956646720757106
0.3,1260,0.3,10,"DFL-MDD (LB=1260, n1=0.3)",0.05066755671911505,0.3716684033902759,0.024993916972606986,0.33610841595845936,0.36311006497397735,0.15074765848857063,0.6001160822140404,0.6956646720757106
0.3,1260,0.3,20,"DFL-MDD (LB=1260, n1=0.3)",0.0420113752591611,0.32409210166815794,0.025018454994128515,0.33803989220566094,0.364929272766636,0.1242793416262651,0.6001160822140404,0.6956646720757106
0.3,1260,0.3,40,"DFL-MDD (LB=1260, n1=0.3)",0.024884167352503095,0.22860449182382614,0.025075318165983917,0.352926110967557,0.37426818979366805,0.07050815049425395,0.6001160822140404,0.6956646720757106
0.3,1260,0.4,0,"DFL-MDD (LB=1260, n1=0.4)",0.054410086275177294,0.372723617250877,0.026070483734061525,0.4007417830672871,0.43462669126908365,0.13577342957638175,0.6532244680101922,0.6782741373074661
0.3,1260,0.4,5,"DFL-MDD (LB=1260, n1=0.4)",0.0501720763265916,0.351653468330794,0.026075774690777955,0.40090636723125905,0.4347679287911168,0.1251466187992361,0.6532244680101922,0.6782741373074661
0.3,1260,0.4,10,"DFL-MDD (LB=1260, n1=0.4)",0.045948866495221674,0.3305564327431772,0.026081065647493913,0.401070951395229,0.4349091663131499,0.11456543118847205,0.6532244680101922,0.6782741373074661
0.3,1260,0.4,20,"DFL-MDD (LB=1260, n1=0.4)",0.03754666987322408,0.2882960870337387,0.02610277128337009,0.40140011972316353,0.43519164135721633,0.09353925925524195,0.6532244680101922,0.6782741373074661
0.3,1260,0.4,40,"DFL-MDD (LB=1260, n1=0.4)",0.02091793388872376,0.20361161972585476,0.026188458126866685,0.4020584563790086,0.43575659144534895,0.05202709594000514,0.6532244680101922,0.6782741373074661
0.5,252,0.1,0,"DFL-MDD (LB=252, n1=0.1)",0.07874285955838722,0.5343221986117475,0.024505060356658354,0.3096781019537224,0.3327504718562823,0.25427325676623735,0.34115882624429406,0.5163032177438475
0.5,252,0.1,5,"DFL-MDD (LB=252, n1=0.1)",0.07544117473600287,0.5161562556451182,0.02451245468398575,0.3097815400797439,0.33283978875991305,0.24353024616066468,0.34115882624429406,0.5163032177438475
0.5,252,0.1,10,"DFL-MDD (LB=252, n1=0.1)",0.07214850560398878,0.49797005351412454,0.0245198490113129,0.30988497820576416,0.3329291056635437,0.23282350115338502,0.34115882624429406,0.5163032177438475
0.5,252,0.1,20,"DFL-MDD (LB=252, n1=0.1)",0.0655901275610784,0.46154439612689835,0.024534637665966374,0.3100918544578002,0.33310773947080485,0.21151838268893516,0.34115882624429406,0.5163032177438475
0.5,252,0.1,40,"DFL-MDD (LB=252, n1=0.1)",0.05258060695661859,0.38853302507143883,0.024564214975269987,0.3146873214502984,0.33346500708532756,0.16708841874398273,0.34115882624429406,0.5163032177438475
0.5,252,0.2,0,"DFL-MDD (LB=252, n1=0.2)",0.08136131770175448,0.5256999803783365,0.026025031364241478,0.33170663787607935,0.3614820921011338,0.24528094522974772,0.4311535857270473,0.5536151082228832
0.5,252,0.2,5,"DFL-MDD (LB=252, n1=0.2)",0.07781270953007091,0.5074530283649046,0.02603412026656957,0.33187779942457907,0.36160598124264565,0.2344619303898574,0.4311535857270473,0.5536151082228832
0.5,252,0.2,10,"DFL-MDD (LB=252, n1=0.2)",0.07427433901608027,0.4891794380540083,0.026043209168897276,0.332048960973076,0.36172987038415727,0.22368490109425238,0.4311535857270473,0.5536151082228832
