lam,tc_bps,group,label,Ann.Ret(%),Sharpe,CVaR(5%)(%),MDD(%),MDD_abs(%),Calmar,HHI,Turnover
0.3,20,PTO-MDD,"PTO-MDD (LB=252, n1=0.1)",0.28,0.1646,4.25,77.47,116.35,0.0036,0.7131,0.0758
0.3,20,PTO-MDD,"PTO-MDD (LB=252, n1=0.2)",1.48,0.206,4.43,77.47,116.35,0.0191,0.8026,0.0707
0.3,20,PTO-MDD,"PTO-MDD (LB=252, n1=0.3)",-0.71,0.1337,4.23,77.47,116.35,-0.0092,0.7263,0.0848
0.3,20,PTO-MDD,"PTO-MDD (LB=252, n1=0.4)",-0.38,0.1472,4.38,77.47,116.35,-0.005,0.7347,0.0892
0.3,20,PTO-MDD,"PTO-MDD (LB=504, n1=0.1)",5.88,0.3373,4.58,77.47,116.35,0.0759,0.7402,0.0816
0.3,20,PTO-MDD,"PTO-MDD (LB=504, n1=0.2)",2.24,0.2339,4.67,77.47,116.35,0.0289,0.8188,0.0885
0.3,20,PTO-MDD,"PTO-MDD (LB=504, n1=0.3)",2.78,0.2495,4.66,77.47,116.35,0.0358,0.8231,0.0952
0.3,20,PTO-MDD,"PTO-MDD (LB=504, n1=0.4)",1.78,0.2179,4.51,77.47,116.35,0.023,0.7292,0.0882
0.3,20,PTO-MVO,PTO-MVO (LB=252),7.36,0.4947,2.57,35.98,39.14,0.2045,0.1859,0.0803
0.3,20,PTO-MVO,PTO-MVO (LB=504),5.71,0.3995,2.63,37.25,40.53,0.1532,0.185,0.0544
0.3,20,DFL-MVO,DFL-MVO (LB=252),11.35,0.6086,3.1,36.71,44.77,0.3092,1.0,0.7312
0.3,20,DFL-MVO,DFL-MVO (LB=504),11.03,0.6578,2.71,27.15,29.11,0.4064,1.0,0.3871
0.3,20,Benchmark,EW,11.81,0.6503,3.02,38.73,42.74,0.3049,0.1,0.0327
0.3,20,Benchmark,GMV (LB=252),7.71,0.5159,2.56,34.82,37.85,0.2214,0.1792,0.0797
0.3,20,Benchmark,hist-MVO (LB=252),10.78,0.6465,2.77,33.66,36.75,0.3203,0.2261,0.2701
0.3,20,Benchmark,GMV (LB=504),6.28,0.4318,2.61,36.15,39.31,0.1736,0.1838,0.0531
0.3,20,Benchmark,hist-MVO (LB=504),7.35,0.4744,2.76,33.64,36.47,0.2184,0.1979,0.1495
0.3,40,DFL-MDD,"DFL-MDD (LB=252, n1=0.1)",7.53,0.5139,2.46,32.15,34.55,0.234,0.4065,0.4664
0.3,40,DFL-MDD,"DFL-MDD (LB=252, n1=0.2)",5.68,0.3992,2.57,34.96,37.69,0.1626,0.5873,0.5516
0.3,40,DFL-MDD,"DFL-MDD (LB=252, n1=0.3)",4.16,0.3141,2.62,36.69,39.49,0.1135,0.6215,0.5571
0.3,40,DFL-MDD,"DFL-MDD (LB=252, n1=0.4)",3.5,0.283,2.59,33.43,36.04,0.1045,0.8149,0.3241
0.3,40,DFL-MDD,"DFL-MDD (LB=504, n1=0.1)",4.88,0.3546,2.59,38.06,41.09,0.1281,0.3895,0.5365
0.3,40,DFL-MDD,"DFL-MDD (LB=504, n1=0.2)",3.78,0.2995,2.48,34.74,37.34,0.1089,0.5269,0.5609
0.3,40,DFL-MDD,"DFL-MDD (LB=504, n1=0.3)",2.95,0.257,2.45,33.9,37.05,0.0869,0.5886,0.4684
0.3,40,DFL-MDD,"DFL-MDD (LB=504, n1=0.4)",5.86,0.3967,2.8,35.67,38.8,0.1643,0.6224,0.7083
0.3,40,PTO-MDD,"PTO-MDD (LB=252, n1=0.1)",0.09,0.1588,4.25,77.47,116.35,0.0012,0.7131,0.0758
0.3,40,PTO-MDD,"PTO-MDD (LB=252, n1=0.2)",1.31,0.2008,4.43,77.47,116.35,0.0168,0.8026,0.0707
