tc_bps,group,label,Ann.Ret(%),Sharpe,CVaR(5%)(%),MDD(%),MDD_abs(%),Calmar,HHI,MaxW,Turnover
20,PTO-MDD,"PTO-MDD (LB=504, n1=0.4)",10.18,0.542,3.17,50.17,57.55,0.2029,0.2738,0.3,0.072
20,PTO-MVO,PTO-MVO (LB=252),7.34,0.4933,2.57,36.04,39.2,0.2036,0.1828,0.3,0.0781
20,PTO-MVO,PTO-MVO (LB=504),5.6,0.3934,2.63,37.4,40.71,0.1496,0.1857,0.3,0.0544
20,Benchmark,EW,11.81,0.6503,3.02,38.73,42.74,0.3049,0.1,0.1,0.0327
20,Benchmark,GMV (LB=252),7.73,0.5171,2.56,34.82,37.84,0.2221,0.1772,0.3,0.0781
20,Benchmark,hist-MVO (LB=252),11.25,0.6701,2.76,33.69,36.79,0.3341,0.2023,0.3,0.2447
20,Benchmark,GMV (LB=504),6.28,0.4318,2.61,36.15,39.31,0.1737,0.1837,0.2961,0.0531
20,Benchmark,hist-MVO (LB=504),7.53,0.4866,2.74,32.89,35.69,0.229,0.1947,0.3,0.1435
40,DFL-MDD,"DFL-MDD (LB=252, n1=0.1)",7.79,0.5192,2.54,33.75,36.68,0.2307,0.2605,0.3,0.3041
40,DFL-MDD,"DFL-MDD (LB=252, n1=0.2)",7.23,0.4807,2.6,34.19,36.96,0.2115,0.2675,0.3,0.2979
40,DFL-MDD,"DFL-MDD (LB=252, n1=0.3)",7.35,0.4881,2.62,30.72,33.11,0.2391,0.2736,0.3,0.2892
40,DFL-MDD,"DFL-MDD (LB=252, n1=0.4)",6.17,0.4162,2.68,37.64,40.77,0.1638,0.2788,0.3,0.2442
40,DFL-MDD,"DFL-MDD (LB=504, n1=0.1)",7.49,0.493,2.62,35.08,38.72,0.2135,0.2515,0.3,0.3566
40,DFL-MDD,"DFL-MDD (LB=504, n1=0.2)",8.04,0.5265,2.52,33.76,36.6,0.2381,0.2677,0.3,0.3583
40,DFL-MDD,"DFL-MDD (LB=504, n1=0.3)",11.82,0.72,2.54,35.45,38.36,0.3333,0.2742,0.3,0.3527
40,DFL-MDD,"DFL-MDD (LB=504, n1=0.4)",9.26,0.5969,2.57,30.21,32.74,0.3065,0.2768,0.3,0.2784
40,DFL-MVO,DFL-MVO (LB=252),7.94,0.5105,2.67,31.49,33.99,0.2522,0.28,0.3,0.2985
40,DFL-MVO,DFL-MVO (LB=504),9.83,0.5859,2.76,35.06,38.02,0.2802,0.28,0.3,0.2746
