H,lam,tc_bps,group,label,Ann.Ret(%),Sharpe,CVaR(5%)(%),MDD(%),MDD_abs(%),Calmar,HHI,Turnover
252,0.3,5,DFL-MDD,"DFL-MDD (LB=252, n1=0.1)",8.41,0.5317,2.61,33.4,36.13,0.2516,0.2411,0.6386
252,0.3,5,DFL-MDD,"DFL-MDD (LB=252, n1=0.2)",0.66,0.1292,2.82,34.59,36.83,0.0191,0.3523,0.6699
252,0.3,5,DFL-MDD,"DFL-MDD (LB=252, n1=0.3)",9.99,0.6204,2.62,29.35,31.37,0.3405,0.4532,0.7567
252,0.3,5,DFL-MDD,"DFL-MDD (LB=252, n1=0.4)",4.9,0.3535,2.61,31.29,33.41,0.1567,0.461,0.8148
252,0.3,5,DFL-MDD,"DFL-MDD (LB=504, n1=0.1)",6.55,0.4434,2.57,36.34,38.96,0.1803,0.2146,0.6173
252,0.3,5,DFL-MDD,"DFL-MDD (LB=504, n1=0.2)",7.37,0.4803,2.59,34.14,37.08,0.216,0.3311,0.7031
252,0.3,5,DFL-MDD,"DFL-MDD (LB=504, n1=0.3)",3.13,0.2536,2.88,42.03,46.68,0.0744,0.4135,0.7476
252,0.3,5,DFL-MDD,"DFL-MDD (LB=504, n1=0.4)",8.0,0.5154,2.65,32.24,34.47,0.2481,0.4823,0.652
252,0.3,5,PTO-MDD,"PTO-MDD (LB=252, n1=0.1)",-1.0,0.0863,3.89,71.77,114.89,-0.0139,0.8996,0.0243
252,0.3,5,PTO-MDD,"PTO-MDD (LB=252, n1=0.2)",3.97,0.2835,3.67,60.53,84.54,0.0657,0.9263,0.0251
252,0.3,5,PTO-MDD,"PTO-MDD (LB=252, n1=0.3)",3.56,0.2666,3.68,62.05,88.14,0.0573,0.9015,0.0305
252,0.3,5,PTO-MDD,"PTO-MDD (LB=252, n1=0.4)",-0.26,0.1131,3.86,70.48,111.06,-0.0037,0.9377,0.0243
252,0.3,5,PTO-MDD,"PTO-MDD (LB=504, n1=0.1)",-9.73,-0.1333,5.12,87.93,183.7,-0.1106,0.9443,0.027
252,0.3,5,PTO-MDD,"PTO-MDD (LB=504, n1=0.2)",-8.91,-0.0802,5.39,88.33,186.66,-0.1009,0.9628,0.0265
252,0.3,5,PTO-MDD,"PTO-MDD (LB=504, n1=0.3)",-9.19,-0.0935,5.34,88.33,186.27,-0.1041,0.9569,0.0268
252,0.3,5,PTO-MDD,"PTO-MDD (LB=504, n1=0.4)",-9.65,-0.1162,5.25,88.33,185.66,-0.1092,0.9496,0.0272
252,0.3,5,PTO-MVO,PTO-MVO (LB=252),5.55,0.3984,2.54,37.66,40.85,0.1473,0.1225,0.1347
252,0.3,5,PTO-MVO,PTO-MVO (LB=504),4.62,0.3436,2.59,39.26,42.98,0.1176,0.1216,0.0823
252,0.3,5,DFL-MVO,DFL-MVO (LB=252),10.37,0.5759,2.87,40.95,44.25,0.2531,0.9943,0.4866
252,0.3,5,DFL-MVO,DFL-MVO (LB=504),4.96,0.3195,3.56,49.21,57.7,0.1008,1.0,0.3721
252,0.3,5,Benchmark,EW,9.56,0.531,3.15,42.38,47.66,0.2255,0.0333,0.0362
252,0.3,5,Benchmark,GMV (LB=252),6.31,0.4463,2.51,35.43,38.36,0.178,0.1154,0.1335
252,0.3,5,Benchmark,hist-MVO (LB=252),10.46,0.611,2.91,35.32,38.37,0.2963,0.1667,0.4157
252,0.3,5,Benchmark,GMV (LB=504),5.4,0.3912,2.55,36.34,39.41,0.1487,0.1171,0.0833
252,0.3,5,Benchmark,hist-MVO (LB=504),6.8,0.4463,2.81,34.71,37.7,0.1958,0.1419,0.2349
252,0.3,10,DFL-MDD,"DFL-MDD (LB=252, n1=0.1)",8.0,0.511,2.61,33.42,36.14,0.2393,0.2411,0.6386
252,0.3,10,DFL-MDD,"DFL-MDD (LB=252, n1=0.2)",0.26,0.1079,2.82,35.2,36.85,0.0075,0.3523,0.6699
252,0.3,10,DFL-MDD,"DFL-MDD (LB=252, n1=0.3)",9.5,0.5954,2.63,29.39,31.42,0.3232,0.4532,0.7567
252,0.3,10,DFL-MDD,"DFL-MDD (LB=252, n1=0.4)",4.4,0.327,2.61,31.32,33.45,0.1403,0.461,0.8148
252,0.3,10,DFL-MDD,"DFL-MDD (LB=504, n1=0.1)",6.16,0.4231,2.57,36.41,39.05,0.1692,0.2146,0.6173
252,0.3,10,DFL-MDD,"DFL-MDD (LB=504, n1=0.2)",6.93,0.4575,2.6,34.15,37.1,0.2028,0.3311,0.7031
252,0.3,10,DFL-MDD,"DFL-MDD (LB=504, n1=0.3)",2.67,0.2315,2.88,42.61,46.71,0.0627,0.4135,0.7476
252,0.3,10,DFL-MDD,"DFL-MDD (LB=504, n1=0.4)",7.58,0.4941,2.65,32.28,34.54,0.2349,0.4823,0.652
252,0.3,10,PTO-MDD,"PTO-MDD (LB=252, n1=0.1)",-1.01,0.0857,3.89,71.79,114.96,-0.0141,0.8996,0.0243
252,0.3,10,PTO-MDD,"PTO-MDD (LB=252, n1=0.2)",3.96,0.2828,3.67,60.57,84.65,0.0654,0.9263,0.0251
252,0.3,10,PTO-MDD,"PTO-MDD (LB=252, n1=0.3)",3.54,0.2658,3.68,62.09,88.25,0.057,0.9015,0.0305
252,0.3,10,PTO-MDD,"PTO-MDD (LB=252, n1=0.4)",-0.27,0.1125,3.86,70.5,111.16,-0.0039,0.9377,0.0243
