x_max,LB,lam,comparison,n,DFL-MDD,other,difference,Cohen d,t,p (one-sided),significant(0.10),significant(0.05),significant(0.01),Wilcoxon p
1.0,252,0.7,GMV,91,3.86,3.61,0.24,0.204,1.94,0.9724,-,-,=,0.9985
1.0,252,0.7,hist-MVO,91,3.86,3.84,0.01,0.009,0.09,0.5347,=,=,=,0.6684
1.0,252,0.7,EW,91,3.86,4.25,-0.39,0.263,-2.51,0.007,+,+,+,0.0036
1.0,252,1.0,DFL-MVO,91,4.34,5.840000152587891,-1.5,0.308,-2.94,0.0021,+,+,+,0.0006
1.0,252,1.0,PTO-MDD,91,4.34,5.88,-1.54,0.367,-3.51,0.0004,+,+,+,0.0005
1.0,252,1.0,PTO-MVO,91,4.34,3.63,0.71,0.606,5.78,1.0,-,-,-,1.0
1.0,252,1.0,GMV,91,4.34,3.61,0.73,0.636,6.07,1.0,-,-,-,1.0
1.0,252,1.0,hist-MVO,91,4.34,3.84,0.5,0.396,3.78,0.9999,-,-,-,1.0
1.0,252,1.0,EW,91,4.34,4.25,0.09,0.082,0.78,0.7819,=,=,=,0.8289
1.0,504,0.3,DFL-MVO,91,3.79,4.179999828338623,-0.39,0.199,-1.9,0.0304,+,+,=,0.0107
1.0,504,0.3,PTO-MDD,91,3.79,6.42,-2.63,0.644,-6.15,0.0,+,+,+,0.0
1.0,504,0.3,PTO-MVO,91,3.79,3.76,0.03,0.032,0.31,0.6212,=,=,=,0.6755
1.0,504,0.3,GMV,91,3.79,3.73,0.06,0.065,0.62,0.7322,=,=,=,0.7482
1.0,504,0.3,hist-MVO,91,3.79,3.94,-0.15,0.117,-1.12,0.1327,=,=,=,0.1909
1.0,504,0.3,EW,91,3.79,4.25,-0.46,0.335,-3.2,0.001,+,+,+,0.0004
1.0,504,0.5,DFL-MVO,91,3.86,4.650000095367432,-0.79,0.435,-4.15,0.0,+,+,+,0.0
1.0,504,0.5,PTO-MDD,91,3.86,6.42,-2.56,0.647,-6.17,0.0,+,+,+,0.0
1.0,504,0.5,PTO-MVO,91,3.86,3.76,0.1,0.114,1.09,0.8603,=,=,=,0.9549
1.0,504,0.5,GMV,91,3.86,3.73,0.13,0.145,1.38,0.9148,-,=,=,0.9545
1.0,504,0.5,hist-MVO,91,3.86,3.94,-0.08,0.063,-0.6,0.2748,=,=,=,0.3288
1.0,504,0.5,EW,91,3.86,4.25,-0.39,0.307,-2.93,0.0021,+,+,+,0.0018
1.0,504,0.7,DFL-MVO,91,4.03,4.28000020980835,-0.25,0.115,-1.09,0.1386,=,=,=,0.1373
1.0,504,0.7,PTO-MDD,91,4.03,6.42,-2.39,0.577,-5.51,0.0,+,+,+,0.0
1.0,504,0.7,PTO-MVO,91,4.03,3.76,0.27,0.308,2.94,0.9979,-,-,-,1.0
1.0,504,0.7,GMV,91,4.03,3.73,0.3,0.359,3.43,0.9995,-,-,-,1.0
1.0,504,0.7,hist-MVO,91,4.03,3.94,0.09,0.082,0.78,0.7817,=,=,=,0.9804
1.0,504,0.7,EW,91,4.03,4.25,-0.22,0.223,-2.13,0.018,+,+,=,0.026
1.0,504,1.0,DFL-MVO,91,4.48,6.139999866485596,-1.66,0.48,-4.58,0.0,+,+,+,0.0
1.0,504,1.0,PTO-MDD,91,4.48,6.42,-1.94,0.548,-5.23,0.0,+,+,+,0.0
1.0,504,1.0,PTO-MVO,91,4.48,3.76,0.72,0.739,7.05,1.0,-,-,-,1.0
1.0,504,1.0,GMV,91,4.48,3.73,0.75,0.724,6.91,1.0,-,-,-,1.0
1.0,504,1.0,hist-MVO,91,4.48,3.94,0.54,0.453,4.32,1.0,-,-,-,1.0
1.0,504,1.0,EW,91,4.48,4.25,0.23,0.259,2.47,0.9923,-,-,-,0.998
