tc_bps,group,label,Ann.Ret(%),Sharpe,CVaR(5%)(%),MDD(%),MDD_abs(%),Calmar,HHI,Turnover
40,DFL-MDD,"DFL-MDD (LB=252, n1=0.3)",4.91,0.3542,2.72,31.7,33.43,0.155,0.5474,0.4882
40,DFL-MDD,"DFL-MDD (LB=252, n1=0.4)",6.31,0.4405,2.62,26.46,28.3,0.2385,0.4995,0.7168
40,DFL-MDD,"DFL-MDD (LB=504, n1=0.1)",7.45,0.4784,2.71,33.64,36.42,0.2215,0.3245,0.6115
40,DFL-MDD,"DFL-MDD (LB=504, n1=0.2)",7.92,0.5114,2.72,32.71,35.75,0.2421,0.3907,0.7293
40,DFL-MDD,"DFL-MDD (LB=504, n1=0.3)",5.66,0.3934,2.7,32.83,35.41,0.1725,0.4489,0.6999
40,DFL-MDD,"DFL-MDD (LB=504, n1=0.4)",3.59,0.277,3.01,35.97,38.69,0.0998,0.5408,0.7623
40,PTO-MDD,"PTO-MDD (LB=252, n1=0.1)",0.09,0.1588,4.25,77.47,116.35,0.0012,0.7131,0.0758
40,PTO-MDD,"PTO-MDD (LB=252, n1=0.2)",1.31,0.2008,4.43,77.47,116.35,0.0168,0.8026,0.0707
40,PTO-MDD,"PTO-MDD (LB=252, n1=0.3)",-0.91,0.1272,4.23,77.47,116.35,-0.0118,0.7263,0.0848
40,PTO-MDD,"PTO-MDD (LB=252, n1=0.4)",-0.6,0.1406,4.38,77.47,116.35,-0.0077,0.7347,0.0892
40,PTO-MDD,"PTO-MDD (LB=504, n1=0.1)",5.68,0.3315,4.58,77.47,116.35,0.0733,0.7402,0.0816
40,PTO-MDD,"PTO-MDD (LB=504, n1=0.2)",2.02,0.2277,4.67,77.47,116.35,0.0261,0.8188,0.0885
40,PTO-MDD,"PTO-MDD (LB=504, n1=0.3)",2.54,0.2429,4.66,77.47,116.35,0.0328,0.8231,0.0952
40,PTO-MDD,"PTO-MDD (LB=504, n1=0.4)",1.57,0.2115,4.51,77.47,116.35,0.0202,0.7292,0.0882
40,PTO-MVO,PTO-MVO (LB=252),7.15,0.4838,2.57,35.99,39.15,0.1987,0.1859,0.0803
40,PTO-MVO,PTO-MVO (LB=504),5.57,0.3923,2.63,37.26,40.54,0.1495,0.185,0.0544
40,DFL-MVO,DFL-MVO (LB=252),4.74,0.315,3.36,40.95,44.25,0.1158,1.0,0.4731
40,DFL-MVO,DFL-MVO (LB=504),8.02,0.4704,3.12,44.03,49.57,0.182,1.0,0.2581
40,Benchmark,EW,11.72,0.6465,3.02,38.74,42.75,0.3026,0.1,0.0327
40,Benchmark,GMV (LB=252),7.51,0.5051,2.56,34.84,37.86,0.2154,0.1792,0.0797
40,Benchmark,hist-MVO (LB=252),10.07,0.6118,2.77,33.71,36.79,0.2989,0.2261,0.2701
40,Benchmark,GMV (LB=504),6.14,0.4247,2.61,36.17,39.32,0.1699,0.1838,0.0531
40,Benchmark,hist-MVO (LB=504),6.96,0.4553,2.76,33.66,36.5,0.2069,0.1979,0.1495
