tc_bps,group,label,Ann.Ret(%),Sharpe,CVaR(5%)(%),MDD(%),MDD_abs(%),Calmar,HHI,MaxW,Turnover
20,PTO-MDD,"PTO-MDD (LB=504, n1=0.4)",10.18,0.542,3.17,50.17,57.55,0.2029,0.2738,0.3,0.072
20,PTO-MVO,PTO-MVO (LB=252),7.34,0.4933,2.57,36.04,39.2,0.2036,0.1828,0.3,0.0781
20,PTO-MVO,PTO-MVO (LB=504),5.6,0.3934,2.63,37.4,40.71,0.1496,0.1857,0.3,0.0544
20,Benchmark,EW,11.81,0.6503,3.02,38.73,42.74,0.3049,0.1,0.1,0.0327
20,Benchmark,GMV (LB=252),7.73,0.5171,2.56,34.82,37.84,0.2221,0.1772,0.3,0.0781
20,Benchmark,hist-MVO (LB=252),11.25,0.6701,2.76,33.69,36.79,0.3341,0.2023,0.3,0.2447
20,Benchmark,GMV (LB=504),6.28,0.4318,2.61,36.15,39.31,0.1737,0.1837,0.2961,0.0531
20,Benchmark,hist-MVO (LB=504),7.53,0.4866,2.74,32.89,35.69,0.229,0.1947,0.3,0.1435
40,DFL-MDD,"DFL-MDD (LB=252, n1=0.1)",6.48,0.4449,2.57,29.37,31.59,0.2206,0.2417,0.3,0.4556
40,DFL-MDD,"DFL-MDD (LB=252, n1=0.2)",5.76,0.3785,3.02,38.13,41.71,0.151,0.2462,0.3,0.3536
40,DFL-MDD,"DFL-MDD (LB=252, n1=0.3)",6.08,0.3951,2.95,34.43,37.55,0.1766,0.2679,0.3,0.4319
40,DFL-MDD,"DFL-MDD (LB=252, n1=0.4)",8.75,0.5147,3.0,33.96,36.94,0.2576,0.2772,0.3,0.4098
40,DFL-MDD,"DFL-MDD (LB=504, n1=0.1)",9.06,0.5447,2.82,38.24,41.74,0.2368,0.2248,0.3,0.5358
40,DFL-MDD,"DFL-MDD (LB=504, n1=0.2)",6.45,0.4405,2.68,30.45,33.12,0.2118,0.2525,0.3,0.4949
40,DFL-MDD,"DFL-MDD (LB=504, n1=0.3)",5.99,0.3841,3.04,34.5,37.48,0.1737,0.2684,0.3,0.4593
40,DFL-MDD,"DFL-MDD (LB=504, n1=0.4)",12.29,0.6703,3.0,36.06,40.1,0.3409,0.2758,0.3,0.4259
40,DFL-MVO,DFL-MVO (LB=252),11.8,0.6262,3.17,39.97,44.0,0.2953,0.28,0.3,0.2815
40,DFL-MVO,DFL-MVO (LB=504),10.17,0.5858,2.87,31.54,34.55,0.3225,0.28,0.3,0.479
